-92, 77, -15, 4059, 34, 250, 28.92
-97, 81, -12, 4063, 31, 250, 28.91
-93, 76, -15, 4056, 35, 240, 28.91
-91, 78, -14, 4061, 40, 250, 28.90
-90, 76, -18, 4055, 36, 241, 28.91
-95, 77, -17, 4052, 45, 230, 28.92
-94, 75, -13, 4052, 40, 240, 28.91
-95, 77, -16, 4058, 34, 248, 28.92
-93, 85, -17, 4062, 42, 251, 28.92
-93, 81, -15, 4058, 40, 255, 28.92
-90, 81, -15, 4055, 30, 243, 28.91
-92, 85, -18, 4045, 35, 238, 28.88
-91, 87, -21, 4055, 38, 254, 28.87
-93, 79, -19, 4054, 39, 255, 28.86
-96, 83, -16, 4048, 30, 257, 28.89
-96, 76, -19, 4046, 43, 257, 28.90
-93, 80, -13, 4046, 34, 253, 28.91
-94, 73, -13, 4048, 28, 251, 28.90
-96, 71, -15, 4057, 28, 243, 28.90
-94, 71, -17, 4047, 29, 247, 28.90
-93, 75, -14, 4065, 37, 247, 28.92
-96, 74, -17, 4063, 38, 249, 28.93
-91, 75, -15, 4055, 30, 244, 28.89
-97, 75, -15, 4054, 36, 253, 28.89
-94, 78, -15, 4062, 31, 248, 28.91
-93, 78, -16, 4059, 38, 257, 28.91
-94, 84, -16, 4064, 44, 249, 28.92
-89, 86, -16, 4059, 39, 237, 28.93
-92, 80, -17, 4059, 33, 254, 28.94
-94, 83, -16, 4051, 34, 246, 28.91
-91, 80, -13, 4057, 32, 252, 28.90
-90, 81, -15, 4054, 27, 259, 28.92
-96, 78, -16, 4056, 30, 244, 28.91
-93, 77, -15, 4059, 40, 239, 28.89
-92, 77, -15, 4061, 32, 243, 28.89
-92, 77, -12, 4054, 36, 242, 28.91
-94, 78, -14, 4060, 34, 265, 28.92
-97, 81, -13, 4058, 33, 258, 28.92
-93, 77, -16, 4052, 33, 244, 28.93
-98, 76, -16, 4054, 35, 243, 28.93
-100, 78, -17, 4053, 38, 240, 28.92
-96, 79, -13, 4063, 38, 240, 28.93
-96, 80, -14, 4057, 34, 248, 28.91
-94, 82, -16, 4054, 30, 248, 28.90
-94, 79, -17, 4048, 35, 256, 28.89
-95, 79, -17, 4051, 28, 259, 28.90
-95, 75, -18, 4052, 25, 267, 28.89
-93, 77, -20, 4052, 35, 265, 28.89
-93, 77, -16, 4054, 37, 256, 28.91
-97, 83, -13, 4061, 36, 255, 28.91
