gx,gy,gz,ax,ay,az,tmp
-88,83,-12,-341,-6,3945,28.54
-86,78,-18,-336,5,3936,28.54
-90,80,-19,-338,3,3942,28.53
-86,76,-19,-345,15,3940,28.53
-87,76,-18,-343,8,3957,28.52
-92,75,-17,-341,-2,3954,28.51
-87,74,-16,-336,1,3948,28.52
-81,74,-19,-333,2,3945,28.52
-80,73,-18,-333,3,3949,28.53
-83,77,-17,-334,2,3966,28.52
-88,77,-16,-330,-3,3961,28.52
-86,75,-15,-328,6,3964,28.52
-86,81,-14,-327,2,3958,28.50
-89,82,-13,-329,1,3961,28.52
-83,81,-15,-329,13,3963,28.52
-87,83,-18,-336,15,3964,28.54
-86,84,-16,-329,1,3972,28.51
-86,75,-16,-332,0,3955,28.51
-88,79,-18,-333,13,3951,28.51
-87,73,-15,-336,11,3943,28.51
-85,80,-14,-331,5,3946,28.51
-86,78,-15,-334,-4,3960,28.51
-86,74,-12,-348,-14,3960,28.51
-87,80,-10,-340,-3,3966,28.51
-90,85,-16,-340,-6,3969,28.53
-88,87,-13,-338,-13,3957,28.52
-86,81,-17,-332,-5,3949,28.51
-90,72,-16,-331,2,3957,28.53
-88,71,-14,-338,10,3958,28.51
-90,75,-13,-332,5,3956,28.53
-84,82,-21,-333,24,3943,28.53
-88,73,-18,-338,18,3952,28.52
-87,81,-19,-340,8,3943,28.48
-81,76,-19,-343,0,3948,28.49
-87,76,-13,-348,11,3934,28.52
-83,81,-12,-337,11,3934,28.50
-85,74,-14,-343,6,3946,28.51
-84,80,-15,-335,8,3949,28.50
-87,80,-12,-334,13,3947,28.53
-87,81,-13,-332,-3,3959,28.55
-85,80,-14,-333,3,3974,28.52
-87,76,-14,-335,-3,3955,28.50
-82,80,-17,-338,-5,3947,28.52
-85,80,-15,-338,3,3942,28.53
-86,76,-16,-336,9,3966,28.52
-92,79,-20,-332,14,3959,28.51
-91,83,-17,-328,7,3953,28.54
-90,82,-20,-335,-1,3949,28.52
-89,84,-14,-336,3,3948,28.52
-83,82,-19,-347,2,3942,28.51
-82,80,-18,-351,2,3946,28.49
-84,82,-15,-343,-15,3955,28.52
-82,75,-15,-340,-1,3947,28.53
-84,74,-21,-343,-3,3946,28.49
-83,71,-24,-343,-1,3955,28.51
-85,70,-19,-334,-5,3963,28.52
-84,73,-15,-340,-3,3951,28.51
-84,74,-17,-345,7,3959,28.52
-87,72,-19,-342,2,3947,28.52
-86,75,-17,-344,2,3960,28.53
-91,74,-14,-337,9,3953,28.53
-89,73,-14,-339,11,3948,28.53
-90,75,-13,-339,21,3957,28.53
-89,79,-18,-338,4,3958,28.52
-88,77,-16,-333,2,3956,28.54
-81,78,-14,-338,1,3960,28.53
-80,79,-15,-339,4,3957,28.53
-85,74,-14,-333,1,3946,28.51
-84,76,-11,-327,5,3959,28.52
-82,77,-14,-332,9,3952,28.52
-87,81,-17,-333,9,3950,28.53
-86,77,-15,-335,6,3957,28.53
-89,81,-21,-334,0,3969,28.54
-88,80,-12,-334,-5,3966,28.53
-89,75,-17,-342,3,3956,28.52
-82,74,-15,-333,10,3954,28.51
-88,76,-13,-331,4,3949,28.52
-85,80,-14,-334,2,3944,28.52
-86,82,-16,-335,-4,3959,28.53
-88,79,-12,-332,11,3953,28.52
-88,76,-17,-328,3,3970,28.55
-87,78,-16,-333,-10,3941,28.55
-88,72,-15,-342,1,3951,28.52
-86,74,-19,-342,1,3963,28.51
-84,75,-20,-352,5,3958,28.51
-85,79,-23,-350,-2,3948,28.49
-82,78,-21,-341,-6,3958,28.52
-82,78,-22,-328,-4,3965,28.52
-89,81,-21,-329,-1,3970,28.54
-84,73,-20,-332,16,3941,28.52
-85,75,-18,-328,0,3946,28.52
-85,77,-18,-326,1,3951,28.52
-88,74,-14,-336,9,3928,28.50
-85,77,-18,-328,7,3939,28.53
-88,79,-13,-323,2,3958,28.51
-88,76,-13,-329,-6,3957,28.51
-85,80,-14,-335,-2,3966,28.52
-86,79,-13,-335,5,3957,28.52
-86,83,-16,-328,7,3955,28.52
-85,79,-17,-334,5,3959,28.53
-87,77,-17,-342,14,3970,28.51
-80,76,-16,-330,6,3965,28.52
-87,78,-21,-327,-1,3945,28.52
-84,77,-16,-332,6,3960,28.53
-89,77,-15,-325,1,3959,28.53
-89,74,-14,-339,3,3972,28.52
-87,73,-14,-335,-5,3961,28.51
