gx,gy,gz,ax,ay,az,tmp
-91,77,-13,-327,-14,3952,28.65
-93,79,-15,-322,-3,3956,28.66
-94,79,-15,-316,-4,3956,28.67
-88,80,-11,-324,-11,3945,28.68
-87,79,-13,-325,-13,3947,28.67
-86,76,-17,-328,-15,3947,28.68
-84,75,-16,-325,-18,3950,28.70
-91,74,-16,-325,-13,3947,28.69
-94,82,-17,-326,-12,3969,28.70
-91,79,-15,-322,-12,3967,28.67
-90,75,-13,-323,-18,3951,28.69
-85,82,-9,-325,-13,3929,28.70
-86,79,-13,-328,-3,3939,28.69
-86,84,-13,-331,3,3934,28.69
-90,83,-13,-329,-8,3950,28.69
-93,81,-15,-331,1,3942,28.68
-94,81,-14,-323,-1,3954,28.67
-84,83,-16,-330,-14,3954,28.69
-90,81,-15,-327,-2,3943,28.70
-85,81,-14,-331,-6,3950,28.72
-85,78,-14,-327,-5,3952,28.71
-87,80,-11,-324,-6,3948,28.69
-88,77,-16,-331,-9,3944,28.71
-90,77,-13,-337,-5,3959,28.71
-82,80,-20,-328,1,3966,28.68
-86,78,-18,-325,0,3976,28.68
-91,78,-14,-331,-16,3961,28.70
-85,82,-10,-330,-9,3965,28.69
-88,81,-13,-338,-14,3957,28.69
-88,81,-12,-324,-22,3946,28.69
-86,83,-19,-330,-19,3951,28.69
-89,75,-17,-328,-15,3956,28.71
-83,78,-11,-316,-19,3935,28.72
-87,80,-14,-325,-10,3950,28.69
-87,83,-11,-331,-5,3954,28.70
-90,80,-13,-327,1,3950,28.71
-84,79,-13,-331,-12,3931,28.69
-84,81,-14,-332,-5,3936,28.72
-83,81,-17,-331,-13,3959,28.71
-86,76,-16,-325,-20,3963,28.71
-86,79,-13,-323,-9,3956,28.70
-87,78,-14,-323,-23,3955,28.71
-86,82,-17,-326,-22,3950,28.69
-80,79,-14,-331,-20,3936,28.69
-84,75,-18,-330,-26,3938,28.69
-89,74,-15,-326,-26,3942,28.71
-92,80,-12,-322,-19,3942,28.70
-92,79,-15,-323,-13,3936,28.72
-87,87,-13,-315,-6,3950,28.74
-89,81,-11,-336,-12,3943,28.73
-89,84,-11,-335,-8,3954,28.72
-85,85,-14,-341,-8,3963,28.73
-86,83,-13,-325,-8,3963,28.71
-86,73,-13,-330,-12,3960,28.73
-84,78,-15,-329,-27,3956,28.72
-83,74,-12,-329,-8,3951,28.73
-85,75,-13,-331,5,3941,28.72
-86,76,-11,-328,2,3945,28.70
-88,85,-13,-335,-12,3943,28.73
-86,84,-15,-335,-12,3956,28.70
-87,83,-9,-332,0,3950,28.71
-84,87,-16,-325,-10,3957,28.71
-86,80,-15,-328,-22,3951,28.72
-86,78,-22,-321,-2,3949,28.72
-88,76,-16,-330,-11,3952,28.72
-82,77,-18,-330,-8,3953,28.73
-86,80,-16,-322,-12,3957,28.73
-82,77,-16,-317,-3,3956,28.74
-86,73,-13,-328,2,3953,28.74
-90,72,-13,-324,-13,3961,28.72
-82,73,-18,-329,-14,3959,28.73
-88,77,-10,-320,-13,3953,28.72
-86,80,-11,-315,-11,3954,28.72
-83,84,-15,-322,-5,3956,28.72
-83,80,-18,-327,-6,3942,28.73
-87,84,-19,-326,-7,3956,28.73
-87,84,-18,-324,-6,3953,28.75
-89,81,-10,-321,0,3961,28.74
-89,77,-15,-325,-11,3947,28.73
-83,75,-16,-320,-10,3956,28.74
-84,77,-15,-338,-12,3946,28.73
-82,78,-14,-332,-7,3945,28.74
-87,76,-10,-322,-10,3944,28.73
-88,79,-11,-325,-17,3954,28.73
-90,83,-12,-330,-4,3955,28.72
-87,77,-15,-318,8,3947,28.72
-85,75,-12,-316,-7,3955,28.74
-89,82,-18,-318,-17,3958,28.72
-89,84,-16,-322,-2,3966,28.74
-81,85,-15,-315,-3,3954,28.74
-87,80,-16,-308,6,3954,28.75
-88,74,-16,-327,3,3926,28.74
-86,76,-19,-325,-5,3945,28.74
-85,80,-15,-332,-8,3948,28.73
-87,78,-16,-333,-10,3958,28.72
-89,79,-15,-334,1,3965,28.74
-84,74,-19,-327,-8,3956,28.75
-81,75,-17,-325,-9,3959,28.75
-92,79,-22,-335,-6,3966,28.74
-91,74,-21,-340,-3,3961,28.76
-87,77,-18,-335,-3,3954,28.78
-87,84,-14,-324,-7,3957,28.76
-86,79,-15,-332,-8,3966,28.76
-85,74,-19,-325,-4,3953,28.77
-86,75,-17,-328,-4,3948,28.75
-88,81,-15,-324,-14,3957,28.76
-82,84,-10,-332,-7,3935,28.76
-85,82,-14,-336,-7,3931,28.76
-93,82,-15,-336,-11,3926,28.78
-86,75,-17,-332,-7,3934,28.77
-87,77,-17,-330,-5,3941,28.78
-83,81,-18,-326,-6,3948,28.76
-88,79,-17,-323,-11,3949,28.76
-92,84,-16,-319,-9,3965,28.76
-90,84,-18,-323,-5,3946,28.75
-87,85,-20,-330,-4,3950,28.74
-82,83,-22,-323,-1,3963,28.77
-85,84,-21,-326,-7,3942,28.76
-91,80,-17,-322,-2,3956,28.77
-83,78,-21,-320,-20,3958,28.76
-87,85,-20,-328,-4,3955,28.76
-87,78,-18,-331,-1,3952,28.75
-91,76,-17,-329,-9,3935,28.76
-84,75,-14,-336,-18,3947,28.76
-86,77,-14,-319,-20,3957,28.76
-82,79,-18,-316,-2,3941,28.78
-82,77,-18,-316,-8,3936,28.76
-80,84,-19,-324,-7,3930,28.76
-81,78,-19,-324,-19,3941,28.76
-87,78,-18,-320,-11,3955,28.77
-84,79,-16,-323,-4,3947,28.78
-85,80,-19,-326,-9,3942,28.77
-84,79,-15,-322,-20,3941,28.77
-93,75,-20,-318,-19,3949,28.77
-88,76,-19,-322,-9,3957,28.78
-85,78,-16,-327,-4,3961,28.79
-84,79,-21,-324,-13,3944,28.78
-87,75,-17,-328,-4,3947,28.78
-86,75,-13,-334,-5,3953,28.78
-89,76,-15,-326,-16,3954,28.77
-91,80,-13,-337,-13,3954,28.77
-90,75,-14,-328,-8,3940,28.76
-86,80,-12,-320,-6,3950,28.78
-86,75,-15,-324,-1,3967,28.78
-83,76,-15,-322,-12,3958,28.79
-85,73,-14,-321,-8,3953,28.79
-79,76,-13,-331,-16,3936,28.81
-82,75,-12,-333,-16,3938,28.80
-87,79,-16,-330,-12,3937,28.79
-91,75,-12,-331,-17,3946,28.77
-88,74,-16,-329,-23,3952,28.77
-90,76,-14,-329,-23,3954,28.78
-89,80,-17,-320,-9,3937,28.78
-88,80,-14,-326,-6,3944,28.79
-89,76,-16,-321,-7,3943,28.77
-86,80,-15,-322,-11,3959,28.79
-85,78,-18,-322,-1,3959,28.79
-87,79,-17,-316,-18,3937,28.78
-93,72,-22,-318,-7,3948,28.79
-92,80,-17,-335,-5,3950,28.79
-88,77,-23,-331,-9,3962,28.80
-85,82,-18,-334,-12,3958,28.82
-86,79,-17,-332,-8,3955,28.79
-85,77,-14,-334,-9,3943,28.83
-84,79,-14,-330,-19,3948,28.79
-89,81,-11,-325,-21,3952,28.80
-91,79,-18,-320,-6,3958,28.82
-86,77,-9,-331,3,3949,28.79
-83,81,-14,-335,-5,3943,28.79
-82,77,-12,-343,-9,3939,28.79
-85,81,-16,-328,-4,3934,28.77
-85,79,-16,-328,-7,3952,28.78
-84,79,-19,-324,-17,3966,28.79
-90,81,-14,-326,-14,3960,28.81
-96,81,-13,-324,-13,3958,28.81
-92,77,-13,-324,-13,3955,28.79
-83,75,-15,-330,-10,3962,28.81
-89,78,-17,-332,-5,3946,28.81
-84,76,-15,-322,-16,3957,28.82
-84,79,-15,-314,-13,3943,28.80
-85,78,-19,-332,-8,3934,28.79
-86,78,-13,-322,2,3950,28.79
-87,75,-18,-319,-3,3936,28.78
-88,75,-15,-331,-8,3951,28.79
-87,79,-12,-318,-7,3932,28.80
-88,79,-12,-327,-7,3929,28.78
